-url,Company Name,logo,Business classification,Address,Phone,Website and Social,opening_hours,Products & services,Details & description
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Riverside-B-B/100499007.html?what=a&where=Nanaimo+BC,A Riverside B&B,,,"99 River Terr, Nanaimo, BC V9X 1E1
",250-753-0510,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Elekiaby-A-Dr/7948922.html?what=a&where=Nanaimo+BC,Elekiaby A Dr,,,"24-1515 Dufferin Cres, Nanaimo, BC V9S 2B8
",250-753-2446,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Westcoast-Celebrant/102228101.html?what=a&where=Nanaimo+BC,A Westcoast Celebrant,,,"540 Stewart Ave, Nanaimo, BC V9S 5T5
",250-729-1133,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Penny-Patrick-A/1214324.html?what=a&where=Nanaimo+BC,Penny Patrick A,,,"55 Front, Nanaimo, BC V9R 5H9
",250-755-8125,studio26nyc.com,,,"Penny Patrick A are eager to help you with your legal needs today. This lawyer can serve your needs as a solicitor, a barrister, an attorney and even more. Penny Patrick A can help in the case of temporary visa, permanent residency or citizenship."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Marrie-Joseph-A/7977171.html?what=a&where=Nanaimo+BC,Marrie Joseph A,,,"3-4488 Wellington Rd, Nanaimo, BC V9T 2H3
",250-758-2825,,,"Legal Services,","Marrie Joseph A offers legal services in Nanaimo. This lawyer can handle your needs as a legal counselor, a defense lawyer, a solicitor and even more. Marrie Joseph A can help in the matter of divorce, separation, child custody or family mediation and can help in the case of temporary visa, permanent residency or citizenship. This lawyer can help in the event of incorporation or contracts and can help in setting up wills and trusts and naming suitable executors. Marrie Joseph A can help in the situation of bodily injury claims or obtaining compensation for damages. This lawyer can administer your real estate inquiries.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Dr-Paul-koltronis/2211158.html?what=a&where=Nanaimo+BC,Dr Paul koltronis,,,"450 Franklyn St, Nanaimo, BC V9R 2X7
",250-753-4348,,"Monday

7:00 am - 8:00 pm



Tuesday

7:00 am - 8:00 pm



Wednesday

7:00 am - 8:00 pm



Thursday

7:00 am - 8:00 pm



Friday

7:00 am - 4:00 pm



Appointment Only",,"Thank you for your patience during our closure due to the COVID-19  pandemic.  Our first priority is the safety of our patients and staff.  With the safety guidance from the  BC Centre of Disease Control, WorkSafe BC,  College of Dental Hygienists of BC and College of Dental Surgeons of BC,,  we are ready to help you with all your dental needs.

Dr. Paul Koltronis 250.753.4348

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Touch-Above/101781564.html?what=a&where=Nanaimo+BC,A Touch Above,,,"2555 Bowen Rd, Nanaimo, BC V9T 3L2
",1-855-781-8667,,,"Car Wash,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Croome-A-Dr/6887938.html?what=a&where=Nanaimo+BC,Croome A Dr,,,"204-1125 Dufferin Cres, Nanaimo, BC V9S 2B5
",250-591-1898,,,"Medical Center,
Doctor,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/David-A-Burns/101200432.html?what=a&where=Nanaimo+BC,David A Burns rlr Lawyers,,Lawyers,"111 Wallace St, Nanaimo, BC V9R 5B2
","250-754-3321
250-754-1148",,"Monday

8:30 am - 5:00 pm



Tuesday

8:30 am - 5:00 pm



Wednesday

8:30 am - 5:00 pm



Thursday

8:30 am - 5:00 pm



Friday

8:30 am - 5:00 pm","Legal Services,","David Burns is a solicitor and practices in the areas of commercial and corporate law, real estate, wills and personal planning documents, estate planning and administration.
David’s practice experience includes drafting complex legislation, decision reports, and documents for multi-billion dollar industrial projects as well as advising participants on legal processes and drafting related agreements.  He assists clients with:
•	Estate and personal planning;
•	Drafting and negotiating commercial leases and contracts;
•	Advising and preparing real estate purchase and sale agreements and leases;
•	Advising and drafting documents for executors and trustees administering estates; and
•	Business asset/share purchases, shareholder agreements, and incorporations.

RLR Lawyers (Ramsay Lampman Rhodes) is one of Vancouver Island’s largest full-service law firms. Our lawyers are recognized as leading practitioners in their respective fields. From routine matters to complex commercial transactions and personal injury claims, we offer trusted legal advice and representation to Island businesses and residents. For over 40 years our lawyers have worked to advance the interests of clients across Vancouver Island including the Comox and Alberni Valleys.

Legal excellence, business savvy and a practical outlook define our approach to client service.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Wee-Cupcakery/6401014.html?what=a&where=Nanaimo+BC,A Wee Cupcakery,,,"407 Fitzwilliam St, Nanaimo, BC V9R 3A9
",250-591-0770,,"Tuesday

10:30 am - 5:00 pm



Wednesday

10:30 am - 5:00 pm



Thursday

10:30 am - 5:30 pm



Friday

10:30 am - 5:30 pm



Saturday

11:00 am - 5:00 pm","Cupcake Shop,
Bakery,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/MacLeod-D-A/1823403.html?what=a&where=Nanaimo+BC,MacLeod D A MacIsaac & Co,,Lawyers,"102-5070 Uplands Dr, Nanaimo, BC V9T 6N1
","250-754-1295
250-753-7977",macisaacgroup.com,"Monday

9:00 am - 5:00 pm



Tuesday

9:00 am - 5:00 pm



Wednesday

9:00 am - 5:00 pm



Thursday

9:00 am - 5:00 pm



Friday

9:00 am - 5:00 pm



Appointment Only","Legal Services,","Michael Pohorecky is a member of the British Columbia Bar. He belongs to the Canadian Bar Association, Trial Lawyers Association of British Columbia, and American Trial Lawyers Association. He was on the executive of the Victoria Bar Association for three years. His practice is focused on civil litigation, primarily injury claims. Mr. Pohorecky has helped clients throughout British Columbia and Alberta.

As a long time commuter cyclist, I have a special concern for those injured while cycling.”

"
