-url,Company Name,logo,Business classification,Address,Phone,Website and Social,opening_hours,Products & services,Details & description
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Riverside-B-B/100499007.html?what=a&where=Nanaimo+BC,A Riverside B&B,,tourism,"99 River Terr, Nanaimo, BC V9X 1E1
",250-753-0510,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Elekiaby-A-Dr/7948922.html?what=a&where=Nanaimo+BC,Elekiaby A Dr,,professional,"24-1515 Dufferin Cres, Nanaimo, BC V9S 2B8
",250-753-2446,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Penny-Patrick-A/1214324.html?what=a&where=Nanaimo+BC,Penny Patrick A,,professional,"55 Front, Nanaimo, BC V9R 5H9
",250-755-8125,studio26nyc.com,,,"Penny Patrick A are eager to help you with your legal needs today. This lawyer can serve your needs as a solicitor, a barrister, an attorney and even more. Penny Patrick A can help in the case of temporary visa, permanent residency or citizenship."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Marrie-Joseph-A/7977171.html?what=a&where=Nanaimo+BC,Marrie Joseph A,,professional,"3-4488 Wellington Rd, Nanaimo, BC V9T 2H3
",250-758-2825,,,"Legal Services,","Marrie Joseph A offers legal services in Nanaimo. This lawyer can handle your needs as a legal counselor, a defense lawyer, a solicitor and even more. Marrie Joseph A can help in the matter of divorce, separation, child custody or family mediation and can help in the case of temporary visa, permanent residency or citizenship. This lawyer can help in the event of incorporation or contracts and can help in setting up wills and trusts and naming suitable executors. Marrie Joseph A can help in the situation of bodily injury claims or obtaining compensation for damages. This lawyer can administer your real estate inquiries.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Dr-Paul-koltronis/2211158.html?what=a&where=Nanaimo+BC,Dr Paul koltronis,,professional,"450 Franklyn St, Nanaimo, BC V9R 2X7
",250-753-4348,,"Monday

7:00 am - 8:00 pm



Tuesday

7:00 am - 8:00 pm



Wednesday

7:00 am - 8:00 pm



Thursday

7:00 am - 8:00 pm



Friday

7:00 am - 4:00 pm



Appointment Only",,"Thank you for your patience during our closure due to the COVID-19  pandemic.  Our first priority is the safety of our patients and staff.  With the safety guidance from the  BC Centre of Disease Control, WorkSafe BC,  College of Dental Hygienists of BC and College of Dental Surgeons of BC,,  we are ready to help you with all your dental needs.

Dr. Paul Koltronis 250.753.4348

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Touch-Above/101781564.html?what=a&where=Nanaimo+BC,A Touch Above,,professional,"2555 Bowen Rd, Nanaimo, BC V9T 3L2
",1-855-781-8667,,,"Car Wash,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Croome-A-Dr/6887938.html?what=a&where=Nanaimo+BC,Croome A Dr,,professional,"204-1125 Dufferin Cres, Nanaimo, BC V9S 2B5
",250-591-1898,,,"Medical Center,
Doctor,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/David-A-Burns/101200432.html?what=a&where=Nanaimo+BC,David A Burns rlr Lawyers,,professional,"111 Wallace St, Nanaimo, BC V9R 5B2
","250-754-3321
250-754-1148",,"Monday

8:30 am - 5:00 pm



Tuesday

8:30 am - 5:00 pm



Wednesday

8:30 am - 5:00 pm



Thursday

8:30 am - 5:00 pm



Friday

8:30 am - 5:00 pm","Legal Services,","David Burns is a solicitor and practices in the areas of commercial and corporate law, real estate, wills and personal planning documents, estate planning and administration.
David’s practice experience includes drafting complex legislation, decision reports, and documents for multi-billion dollar industrial projects as well as advising participants on legal processes and drafting related agreements.  He assists clients with:
•	Estate and personal planning;
•	Drafting and negotiating commercial leases and contracts;
•	Advising and preparing real estate purchase and sale agreements and leases;
•	Advising and drafting documents for executors and trustees administering estates; and
•	Business asset/share purchases, shareholder agreements, and incorporations.

RLR Lawyers (Ramsay Lampman Rhodes) is one of Vancouver Island’s largest full-service law firms. Our lawyers are recognized as leading practitioners in their respective fields. From routine matters to complex commercial transactions and personal injury claims, we offer trusted legal advice and representation to Island businesses and residents. For over 40 years our lawyers have worked to advance the interests of clients across Vancouver Island including the Comox and Alberni Valleys.

Legal excellence, business savvy and a practical outlook define our approach to client service.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Wee-Cupcakery/6401014.html?what=a&where=Nanaimo+BC,A Wee Cupcakery,,restaurant,"407 Fitzwilliam St, Nanaimo, BC V9R 3A9
",250-591-0770,,"Tuesday

10:30 am - 5:00 pm



Wednesday

10:30 am - 5:00 pm



Thursday

10:30 am - 5:30 pm



Friday

10:30 am - 5:30 pm



Saturday

11:00 am - 5:00 pm","Cupcake Shop,
Bakery,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/MacLeod-D-A/1823403.html?what=a&where=Nanaimo+BC,MacLeod D A MacIsaac & Co,,professional,"102-5070 Uplands Dr, Nanaimo, BC V9T 6N1
","250-754-1295
250-753-7977",macisaacgroup.com,"Monday

9:00 am - 5:00 pm



Tuesday

9:00 am - 5:00 pm



Wednesday

9:00 am - 5:00 pm



Thursday

9:00 am - 5:00 pm



Friday

9:00 am - 5:00 pm



Appointment Only","Legal Services,","Michael Pohorecky is a member of the British Columbia Bar. He belongs to the Canadian Bar Association, Trial Lawyers Association of British Columbia, and American Trial Lawyers Association. He was on the executive of the Victoria Bar Association for three years. His practice is focused on civil litigation, primarily injury claims. Mr. Pohorecky has helped clients throughout British Columbia and Alberta.

As a long time commuter cyclist, I have a special concern for those injured while cycling.”

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Harvey-Brian-A/755357.html?what=a&where=Nanaimo+BC,Harvey Brian A,,professional,"55 Front St, Nanaimo, BC V9R 5H9
",250-753-3500,www.bccrimlaw.ca,"Monday

12:00 am - 11:59 pm



Tuesday

12:00 am - 11:59 pm



Wednesday

12:00 am - 11:59 pm



Thursday

12:00 am - 11:59 pm



Friday

12:00 am - 11:59 pm



Saturday

12:00 am - 11:59 pm



Sunday

12:00 am - 11:59 pm","Driving Offences,
Marijuana Grow Ops,
Mischief/ Uttering Threats,
Serious Crimes Of Violence,
Theft/Possession,
Assault/Spousal Assault,


Impaired Driving,
Drug Offences,
Youth Court,
Free Initial Consultation,
Fraud,



",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Dr-Rob-Piemontesi/7928012.html?what=a&where=Nanaimo+BC,Dr Rob Piemontesi,,professional,"1651B Boundary Ave, Nanaimo, BC V9S 5R8
","250-753-8415
250-753-5422",,,"medical center,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Laurie-A-Crossan/5837140.html?what=a&where=Nanaimo+BC,Laurie A Crossan Mont & Walker Law Corp,,service_companies,"201 Selby St, Nanaimo, BC V9R 2R2
","250-753-6435
250-753-5285",www.mala.ca,,"Legal Services,","Laurie A Crossan offers legal services in Nanaimo. Laurie A Crossan is available as a legal advisor, an attorney, a solicitor and even more. This lawyer can help in the matter of temporary visa, permanent residency or citizenship. Laurie A Crossan can help in the case of incorporation or contracts."
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Deborah-A-Loy/7904423.html?what=a&where=Nanaimo+BC,Deborah A Loy,https://cdn.ci.yp.ca/t/1534/20/15342077aa_t.gif,professional,"5359 Highridge Pl, Nanaimo, BC V9T 5Z8
","250-758-4333
250-758-4338",,,"Wills & Estates,
Real Estate Transactions,
Mortgages,
Incorporations,","Loy Deborah A, a lawyer in Nanaimo specialized in real estate, wills and estates, powers of attorney and incorporations, has been providing legal services to Nanaimo residents for over 19 years. The office of Deborah Loy is located just off Rutherford Road and home, as well as evenings and weekend appointments are available. Don't hesitate to call for more detail or to book an appointment!

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Flowers/101783101.html?what=a&where=Nanaimo+BC,A+ Flowers,,retail_business,"5067 Sedona Way, Nanaimo, BC V9T 5Z4
",250-756-9331,,,,
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-Step-Ahead-Footwear/2067870.html?what=a&where=Nanaimo+BC,A Step Ahead Footwear Woodgrove Centre,,retail_business,"6631 Island Hwy N, Nanaimo, BC V9T 4T7
",250-390-2821,,,"Footwear Store,",
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/A-C-Taxi/2066238.html?what=a&where=Nanaimo+BC,A C Taxi,,service_companies,"620 Terminal Ave, Nanaimo, BC V9R 5E2
","250-753-1231
250-754-6260",actaxi.ca,"Monday

12:00 am - 11:59 pm



Tuesday

12:00 am - 11:59 pm



Wednesday

12:00 am - 11:59 pm



Thursday

12:00 am - 11:59 pm



Friday

12:00 am - 11:59 pm



Saturday

12:00 am - 11:59 pm



Sunday

12:00 am - 11:59 pm



24 Hours A Day - 7 Days A Week","Parcel Delivery,
Taxi,
Taxi Service Providers,
24-Hour Taxi Service,
Airport Service,
Airport Taxi Service,


Airport Transportation,
Cab Service,
Cabs Companies,
Courier,
Courier Service,
Delivery,
Local Taxi Service,
Long Distance Taxi Service,
On Line Booking,
Out Of Town Taxis,
Taxi Service,



","AC Taxi Ltd. is available 24 hours a day, 7 days a week, 365 days a year to service your transportation needs. AC Taxi Ltd. operates reliable, clean taxi's,including ones that are wheelchair accessible. Our drivers are fully trained and qualified to transport wheelchairs and most electric scooters safely. We also participate in the Region District HandyDart and Taxi Saver program which is an economical ride for the elderly and disabled by the Regional District of Nanaimo Transportation Department. We service every sailing of the newly upgraded BC Ferries into Nanaimo, all of the float plane arrivals into Nanaimo's Harbour, the ever expanding Nanaimo Airport, the Island and mainland arrivals at the Nanaimo bus depot, and the Nanaimo train station.

"
https://www.yellowpages.ca/bus/British-Columbia/Nanaimo/Budget-Car-Rental/100199574.html?what=a&where=Nanaimo+BC,Budget Car Rental,,service_companies,"2393 Hayes Road, Nanaimo, BC V9T 3M3
",250-760-7368,,"Monday

8:00 am - 5:30 pm



Tuesday

8:00 am - 5:30 pm



Wednesday

8:00 am - 5:30 pm



Thursday

8:00 am - 5:30 pm



Friday

8:00 am - 5:30 pm



Saturday

8:00 am - 5:30 pm



Sunday

9:00 am - 5:00 pm",,"Save on your next car rental with Budget Car Rental in Nanaimo. Whether you're renting a car in Nanaimo or any one of our 1,500 locations, you will find discount rental car rates on a variety of vehicles."
https://www.yellowpages.ca/bus/British-Columbia/Cassidy/Budget-Truck-Rental/7709547.html?what=a&where=Nanaimo+BC,Budget Truck Rental,,service_companies,"3350 Spitfire Way, Cassidy, BC V0R 1H0
",250-760-7368,,"Monday

8:00 am - 12:30 am



Tuesday

8:00 am - 12:30 am



Wednesday

8:00 am - 12:30 am



Thursday

8:00 am - 12:30 am



Friday

8:00 am - 12:30 am



Saturday

8:00 am - 12:30 am



Sunday

8:00 am - 12:30 am","Loading Help,
Packing Help,
Unloading Help,","One of the leading truck rental companies, Budget Truck Rental in Cassidy provides discount truck rentals, cargo vans, trailers and pick-up trucks. Take advantage of truck rental savings for your consumer and light commercial needs in Cassidy."
