Sku,Description,Department,Brand,Product Number,UPC,QOH,Price,Dim.1 Group,Dim.2 Group
5775,Hydralyte Effervescent Electrolyte Granules 12x6g Packets Orange,Vitamins & Health Supplem,Hydralyte,774105,9326173002414,-1,$24.99,,
8065,BioX Protein 32 Bars 12Pack Peanut Crunch,Protein Bars and Cookies,BioX,AAAA:9X1_32BAR:SPB043,8.13535E+11,-1,$39.99,,
7425,Zazubean Chocolate Bar 85g Flirt Raspberry & Cherry,Food & Groceries,Zazubean,,8.72227E+11,1,$4.99,,
7862,Youtheory Collagen Advanced Formula 180tab,Vitamins & Health Supplem,Youtheory,8000011,8.17598E+11,1,$26.99,,
3545,Younited Energy Activator 160g Raspberry Lemonade,Vitamins & Health Supplem,Younited,4035,6.28635E+11,1,$44.99,,
7388,Younited Energy Activator 160g Pineapple Mango,Vitamins & Health Supplem,Younited,YW930,,1,$44.99,,
7389,Younited All-in Superfood 292g Pinapple Mango,Vitamins & Health Supplem,Younited,YW915,6.28635E+11,1,$54.99,,
4012,Wild Ridge Farms Beef Jerky 70g Thai Green Chili,Food & Groceries->Healthy Snacks,Wild Ridge Farms,WRF-J-OTGC,653341222114;653341221919;628250289459,1,$9.99,,
3588,Wholesome Sweeteners Organic Molasses 473ml,Food & Groceries,Wholesome Sweetners,WHL60000,12511600006,1,$9.99,,
5615,Whole Earth & Sea Marine DHA Vegan Omega-3 300mg DHA 30Vcaps,Vitamins & Health Supplem,Whole Earth & Sea,35551,68958355511,1,$19.99,,
4631,West Coast Seeds Sprouting Seeds- Organic Red Radish 100g,Gardening->Seeds,West Coast Seeds,SS111A,6.87704E+11,1,$10.99,,
7660,Ward Smelling Salts Asylum Refillable Stainless Steel Bottle 32g,Equipment & Accessories,Ward Smelling Salts,,8.57648E+11,1,$29.99,,
2744,Walden Farms BBQ Sauce 355ml Honey BBQ,Food & Groceries,Walden Farms,,72457550223,1,$7.99,,
3982,W.Gifford-Jones Medi-C Plus Original Formula 300g Citrus,Vitamins & Health Supplem,W.Gifford-Jones,583,6.28826E+11,1,$29.99,,
4136,VEGAIN V-Power Plant Based Protein 2.2lb Vanilla Surge,Sports & Fitness->Protein,Vegain,,6.28942E+11,1,$69.99,,
6554,Vega Sport Performance Protein 1.86kg Vanilla,Vitamins & Health Supplem->Protein,Vega,VEG10810,8.38766E+11,1,$99.99,,
6555,Vega Sport Performance Protein 1.86kg Chocolate,Vitamins & Health Supplem->Protein,Vega,VEG10809,8.38766E+11,1,$99.99,,
6479,Vega Sport Nighttime Rest & Repair 426g Chocolate Strawberry,Vitamins & Health Supplem->Protein,Vega,VEG10162,8.38766E+11,1,$39.99,,
3360,Vega Sport Electrolyte Hydrator 30pack Lemon Lime,Vitamins & Health Supplem,Vega,VEG10755,8.38766E+11,1,$29.99,,
3363,Vega Sport Electrolyte Hydrator 148g Tub Berry,Sports & Fitness,Vega,VEG10758,8.38766E+11,1,$29.99,,
3369,Vega One All in One Shake 874g Vanilla Chai,Vitamins & Health Supplem->Protein,Vega,,8.38766E+11,1,$64.99,,
3408,Vega One All in One Shake 850g Mixed Berry,Vitamins & Health Supplem->Protein,Vega,,8.38766E+11,1,$64.99,,
4622,Universal Nutrition Beef Aminos 200Tabs,Sports & Fitness,Universal Nutrition,UN-BAMINO,838766105307;039442010650,1,$30.99,,
3378,Universal Nutrition Animal Pak 44Paks,Sports & Fitness,Universal Nutrition,APAK,039442030115;039442000422,1,$78.99,,
7796,Uncle Lee's Tea Legends of China Organic White Tea 100bag,Food & Groceries,Uncle Lee's Tea,850270,8.92241E+11,1,$8.99,,
3379,Uncle Lee's Tea Legends of China Green Tea 100bag,Food & Groceries,Uncle Lee's Tea,850250,056183095012;049606100042,1,$8.99,,
1105,Ultimate Performance 90Cap,Vitamins & Health Supplem,Ultimate,605,6.28826E+11,1,$48.99,,
1111,Ultimate Anti-Stress 120Cap,Vitamins & Health Supplem,Ultimate,307,851562003073;628826003076,1,$31.99,,
3440,Trophic Liquid Vitamin E 50ml,Vitamins & Health Supplem,Trophic,,69967111723,1,$18.99,,
2177,Traditional Medicinals Organic Smooth Move Laxative Tea 16 x 2.0g,Food & Groceries,Traditional Medicinals,TRD00762,32917101679,1,$6.99,,
7182,Traditional Medicinals Organic Peppermint Tea 16 x 1.5g,Food & Groceries,Traditional Medicinals,TRD00758,32917007582,1,$6.99,,
3428,Traditional Medicinals Organic Nettle Leaf Tea 16 x 2g,Food & Groceries,Traditional Medicinals,TRD00755,032917101815;032917007551,1,$6.99,,
4464,Traditional Medicinals Organic Mother's MilkTea Lactation 16 x 1.5g,Food & Groceries,Traditional Medicinals,TRD00754,628055063025;032917007544,1,$6.99,,
3439,Traditional Medicinals Organic Licorice Root Tea 16 x 1.5g,Food & Groceries,Traditional Medicinals,TRD00753,032917101808;032917007537,1,$6.99,,
6570,Traditional Medicinals Organic GreenTea w/Ginger 16 x 1.3g,Food & Groceries,Traditional Medicinals,822370,032917100887;032917007483,1,$6.99,,
3431,Traditional Medicinals Organic Dandelion Leaf & Root Tea 16 x 1.75g,Food & Groceries,Traditional Medicinals,TRD10198,032917101983;032917007384,1,$6.99,,
7879,Tiara Natural Deodorant 75g Melon & Cucumber,Beauty & Personal Care,Tiara,,6.28055E+11,1,$20.99,,
8036,The Sporing Company MycoVeda Sleep 60cap,Vitamins & Health Supplem,The Sporing Company,,6.28693E+11,1,$49.99,,
3455,Tested Nutrition Beta Alanine 2250mg 180Cap,Sports & Fitness,Tested Nutrition,,8.04947E+11,1,$24.99,,
4022,SunWarrior Lean Superfood Shake 720g Vanilla,Vitamins & Health Supplem->Protein,SunWarrior,100430,8.14784E+11,1,$78.99,,
3822,SunWarrior Lean Superfood Shake 720g Snickerdoodle,Vitamins & Health Supplem->Protein,SunWarrior,100420,8.14784E+11,1,$78.99,,
2740,SunWarrior Lean Superfood Shake 720g Salted Caramel,Vitamins & Health Supplem->Protein,SunWarrior,100410,8.14784E+11,1,$78.99,,
2727,SunWarrior Lean Superfood Shake 720g Chocolate,Vitamins & Health Supplem->Protein,SunWarrior,100400,8.14784E+11,1,$78.99,,
3434,SunWarrior Classic Sprouted Brown Rice Protein 750g Chocolate,Vitamins & Health Supplem->Protein,SunWarrior,100011,814784026060;814784020082,1,$59.99,,
7841,Sundhed Kala Namak Black Salt 750g Fine,Food & Groceries,Sundhed,567190,8.73778E+11,1,$9.99,,
3781,Suku Vitamins Youthful Skin 60Gummies,Vitamins & Health Supplem,Suku Vitamins,653305,6.28176E+11,1,$25.99,,
7938,St.Francis Licorice 50ml,Vitamins & Health Supplem,St.Francis Herb Farm,709838,8.13858E+11,1,$20.99,,
7848,St.Francis Goldenseal Hydraste 100ml,Vitamins & Health Supplem,St.Francis Herb Farm,,8.13858E+11,1,$39.99,,
4191,Sprout Living Epic Protein 1lb Vanilla Lucuma,Vitamins & Health Supplem->Protein,Sprout Living,SLEPVL16oz,8.52457E+11,1,$33.99,,
4190,Sprout Living Epic Protein 1lb Chocolate Maca,Vitamins & Health Supplem->Protein,Sprout Living,SLEPCM16oz,8.52457E+11,1,$33.99,,
1767,So Luxury So Silver Mission Falls Ionic Silver Spray 100ml,Vitamins & Health Supplem,So Luxury,,689076906944;628110816924,1,$14.99,,
5006,Smart Sweets 50g Sweet Fish,Protein Bars and Cookies,Smart Sweets,,6.69809E+11,1,$4.99,,
5005,Smart Sweets 12Pack Sweet Fish,Food & Groceries->Healthy Snacks,Smart Sweets,521115,6.69809E+11,1,$54.99,,
5836,Smart Sweets 12Pack Peach Rings,Protein Bars and Cookies,Smart Sweets,521125,6.69809E+11,1,$54.99,,
8118,SISU Omega 3 Bursts Fruit Punch 120 gel,Vitamins & Health Supplem,Savera,80005706,7.77672E+11,1,$29.99,,
7492,Second Spring Sprouted Lentil Trio 325g,Food & Groceries->Health Foods,Second Spring,693400,6.97517E+11,1,$6.99,,
1047,Sealicious Omega-3 500ml Tangerine Lime,Vitamins & Health Supplem,Sealicious,SL6010,6.28235E+11,1,$47.99,,
2351,Schinoussa Sea Vegetables 270g Pure,Vitamins & Health Supplem,Schinoussa,SV0041,8.77999E+11,1,$54.99,,
3766,Schinoussa Sea Vegetables 270g Berry Antioxidants,Vitamins & Health Supplem,Schinoussa,5351,8.77999E+11,1,$54.99,,
5295,Schinoussa Fermented Chlorella Protein 1.85lb Chocolate,Vitamins & Health Supplem->Protein,Schinoussa,SCH3332,8.77999E+11,1,$58.99,,
3853,Santevia Mineral Stones,Water Purification,Santevia,,7.08574E+11,1,$39.99,,
8121,Santevia Glass Water System,Water Purification,Santevia,16218994-1,7.08574E+11,1,$318.97,,
3854,Santevia Enhanced Ceramic Pre-Filter,Water Purification,Santevia,16219003-1,7.08574E+11,1,$39.99,,
3856,Santevia CounterTop Model,Water Purification,Santevia,16219001,7.08574E+11,1,$198.99,,
6683,Santevia Alkaline MINA Pitcher Filter Single,Water Purification,Santevia,16222006-1,7.08574E+11,1,$19.99,,
5524,Santevia Alkaline MINA Pitcher Filter 3 Pack,Water Purification,Santevia,16222007,7.08574E+11,1,$54.99,,
2792,San-J Gold Label Organic Tamari Soy Sauce 296ml Gluten Free,Food & Groceries,San-J,SAN00126,75810001264,1,$8.99,,
3861,San-J Bronze Label Organic Shoyu Soy Sauce 296ml,Food & Groceries,San-J,SAN04126,75810041260,1,$6.99,,
2990,Rule 1 R1 Whey Blend 5lb Vanilla Ice Cream,Sports & Fitness->Protein,Rule 1,RUL-551,1.96671E+11,1,$89.99,,
5747,Rule 1 R1 Whey Blend 1.99lb Lightly Salted Caramel,Sports & Fitness->Protein,Rule 1,RUL-508,1.96671E+11,1,$45.99,,
3686,Rule 1 R1 Whey Blend 1.98lb Chocolate Fudge,Sports & Fitness->Protein,Rule 1,FUL-500,1.96671E+11,1,$45.99,,
3674,Rule 1 R1 Whey Blend 1.96lb Vanilla Ice Cream,Sports & Fitness->Protein,Rule 1,RUL-501,1.96671E+11,1,$45.99,,
2983,Rule 1 Pre-Amino Energy 30Servings Rainbow Candy,Sports & Fitness,Rule 1,RUL-426,8.37234E+11,1,$36.99,,
2981,Rule 1 Pre-Amino Energy 30Servings Pineapple Orange,Sports & Fitness,Rule 1,RUL-424,8.58925E+11,1,$36.99,,
2994,Rule 1 Casein 4lb Chocolate Fudge,Sports & Fitness->Protein,Rule 1,RUL-650,1.96671E+11,1,$99.99,,
1090,Rule 1 Casein 2lb Vanilla Ice Cream,Sports & Fitness->Protein,Rule 1,RUL-601,1.96671E+11,1,$59.99,,
7549,Revive Liver 120Vcap,Vitamins & Health Supplem,Revive,REV629,850030689252;728614776295,1,$74.99,,
1355,Revive Kidney 360Vcap,Vitamins & Health Supplem,Revive,REV795,8.50031E+11,1,$69.99,,
7542,Revive Daily Greens 510g Espresso,Sports & Fitness,Revive,REV937,8.50031E+11,1,$49.99,,
6711,Renew Life CandidaGONE kit 15 Day,Vitamins & Health Supplem,Renew Life,RL1002,6.31257E+11,1,$34.99,,
6327,Redcon1 MRE Meal Replacement Powder 7.15lbs Peanut Butter Cookie,Sports & Fitness->Protein,Redcon1,RC112691,810044572438;763236126912,1,$99.99,,
5368,Redcon1 MRE Meal Replacement Powder 7.15lbs Oatmeal Chocolate Chip,Sports & Fitness->Protein,Redcon1,RC191701,850004759042;601754191701,1,$99.99,,
4879,Redcon1 MRE Meal Replacement Powder 7.15lbs Blueberry Cobbler,Sports & Fitness->Protein,Redcon1,RC126168,850004759004;647603261683,1,$99.99,,
4960,Redcon1 MRE Meal Replacement Bar 12pack Crunchy Peanut Butter Cup,Protein Bars and Cookies,Redcon1,RC119193,810044571110;601754191930,1,$49.99,,
6325,Redcon1 MRE Meal Replacement Bar 12pack Chocolate Chip Cookie Dough,Protein Bars and Cookies,Redcon1,RC175997,8.50005E+11,1,$49.99,,
4875,Redcon1 MRE Meal Replacement Bar 12pack Blueberry Cobbler,Protein Bars and Cookies,Redcon1,RC119173,810044571134;601754191800,1,$49.99,,
7906,Redcon1 MRE LITE Protein Powder 1.92lbs Junior's Peanut Butter Chocolate Cheesecake,Sports & Fitness->Protein,Redcon1,,8.10045E+11,1,$59.99,,
6566,Redcon1 MRE LITE Protein Powder 1.92lbs Fudge Brownie,Sports & Fitness->Protein,Redcon1,RC157091,8.10045E+11,1,$59.99,,
4881,Redcon1 MRE LITE Protein Powder 1.92lbs Blueberry Cobbler,Sports & Fitness->Protein,Redcon1,RC119178,850004759103;601754191787,1,$59.99,,
7114,Raw Nutritional Vegan Pro 2lb Coffee-Wafers,Vitamins & Health Supplem->Protein,Raw Nutritional,,6.28505E+11,1,$49.99,,
7111,Raw Nutritional Vegan Pro 2lb Chocolate,Vitamins & Health Supplem->Protein,Raw Nutritional,,6.28505E+11,1,$49.99,,
3687,Raw Nutritional Vegan BCAA 270g Pink Lemonade,Sports & Fitness,Raw Nutritional,,628504712061;304264667468,1,$29.99,,
3670,Raw Nutritional Vegan BCAA 270g Lemon Ice Tea,Sports & Fitness,Raw Nutritional,,3.04265E+11,1,$29.99,,
5927,Quest Nutrition RTD Protein Shake 4 Pack Chocolate,Sports & Fitness->Protein,Quest,QU160,8.88849E+11,1,$17.99,,
5930,Quest Nutrition RTD Protein Shake 325ml Vanilla,Sports & Fitness->Protein,Quest,,8.88849E+11,1,$4.99,,
6565,Quest Nutrition Peanut Butter Cups 42g,Protein Bars and Cookies,Quest,,888849011506;888849011308,1,$3.99,,
3647,Quest Nutrition Peanut Butter Cups 12 Pack,Protein Bars and Cookies,Quest,QU090U,888849011513;888849011452,1,$44.99,,
3720,PVL Isolated CLA 1250 180Gels,Vitamins & Health Supplem,PVL Pure Vita Labs,54853,6.27933E+11,1,$29.99,,
3718,PVL DAA+ 186g,Sports & Fitness,PVL Pure Vita Labs,54802,6.27933E+11,1,$24.99,,
7802,PVL Creatine X8 Amino Boosted 249g,Sports & Fitness,PVL Pure Vita Labs,68410CA,6.27934E+11,1,$24.99,,
2471,PVL BCAA 315g Tropical Punch,Sports & Fitness,PVL Pure Vita Labs,53001,6.27933E+11,1,$31.99,,
3707,PVL BCAA 315g Blue Raspberry,Sports & Fitness,PVL Pure Vita Labs,53002,6.27933E+11,1,$31.99,,
2590,Purica Recovery Extra Strength 350g,Vitamins & Health Supplem,Purica,P00777,8.15555E+11,1,$59.99,,
3025,Pure-Le Horny Goat Weed 450mg 60Caps,Vitamins & Health Supplem,Pure le Natural,PUR533,6.2191E+11,1,$24.99,,
1694,Provita Nadogen NAD+ SIRT1 60Vcap,Vitamins & Health Supplem,Provita,55410176-60,8.32927E+11,1,$79.99,,
7650,Provita Migraine 60Vcap,Vitamins & Health Supplem,Provita,55410102-60,8.32927E+11,1,$33.99,,
4346,Provita Kardio Flow 90cap,Vitamins & Health Supplem,Provita,55410141-90,832927002887;832927002481,1,$41.99,,
2865,Provita AHCC Pro 60DRVCaps,Vitamins & Health Supplem,Provita,55410151-60,8.32927E+11,1,$84.99,,
2192,ProSupps Hyde Nightmare Pre-Workout 312g Jawbreaker,Sports & Fitness,ProSupps,PSUP1262,8.10035E+11,1,$59.99,,
5504,ProLine Nutrition Vita Paks for Women 30Packets,Vitamins & Health Supplem,ProLine Nutrition,239,700199004383;700199002396,1,$49.99,,
6825,ProLine Nutrition Teacrine 30cap,Vitamins & Health Supplem,ProLine Nutrition,PL-TEA30CAP,7.00199E+11,1,$34.99,,
1890,ProLine Nutrition Iso Advanced 1.76lb Natural Strawberry Banana,Sports & Fitness->Protein,ProLine Nutrition,127,857465001277;700199004888;700199004048,1,$54.99,,
6824,ProLine Nutrition Dynamine 60cap (Exp 03/24),Vitamins & Health Supplem,ProLine Nutrition,PL-DYN60CAP,7.00199E+11,1,$39.99,,
1575,Progressive VegEssential 840g Natural Choc,Vitamins & Health Supplem->Protein,Progressive Nutrition,3385,837229007165;837229005895,1,$69.99,,
5971,Progressive VegeGreens 265g Cucumber Mint,Vitamins & Health Supplem,Progressive Nutrition,3348,8.37229E+11,1,$41.99,,
2398,Progressive Phytoberry 900g,Vitamins & Health Supplem,Progressive Nutrition,3306,8.37229E+11,1,$69.99,,
2409,Progressive Phytoberry 450g,Vitamins & Health Supplem,Progressive Nutrition,3305,8.37229E+11,1,$39.99,,
5106,Progressive Multivitamin Women 50+ 120Vcap ,Vitamins & Health Supplem,Progressive Nutrition,3107,8.37229E+11,1,$37.99,,
4663,Progressive Multivitamin Prenatal 120Vcap,Vitamins & Health Supplem,Progressive Nutrition,1251,8.13432E+11,1,$41.99,,
2530,Progressive Multivitamin Active Woman 120Vcap,Vitamins & Health Supplem,Progressive Nutrition,3111,837229000029;813432001138,1,$37.99,,
2541,Progressive Multivitamin Active Men 120Vcap,Vitamins & Health Supplem,Progressive Nutrition,3109,837229000081;813432001084,1,$39.99,,
2911,Progressive Complete Collagen 500g Citrus Twist,Vitamins & Health Supplem,Progressive Nutrition,3421,8.37229E+11,1,$49.99,,
2450,Prairie Naturals Vitamin K2 100mcg 60Vcap,Vitamins & Health Supplem,Prairie Naturals,432,67953004325,1,$19.99,,
2343,Prairie Naturals Vitamin D 1000iu 500Gel,Vitamins & Health Supplem,Prairie Naturals,291,67953002918;067953002918,1,$19.99,,
2210,Prairie Naturals UT Cran-Biotic Kit - Urinary Track Support Cranberry + Probiotics,Vitamins & Health Supplem,Prairie Naturals,695,67953006954,1,$47.99,,
2714,Prairie Naturals Spirulina 500mg 180Vcap Organic,Vitamins & Health Supplem,Prairie Naturals,623,67953006237,1,$23.99,,
2151,Prairie Naturals ReCleanse Herbal Cleanse 7 Day,Vitamins & Health Supplem,ReCleanse,642,8.04642E+11,1,$26.99,,
4157,Prairie Naturals Organic Sprouted Brown Rice 360g Natural,Vitamins & Health Supplem->Protein,Prairie Naturals,286,67953002864,1,$29.99,,
2034,Prairie Naturals Organic Hemp Protein 400g French Vanilla,Vitamins & Health Supplem->Protein,Prairie Naturals,289,67953002895,1,$29.99,,
4398,Prairie Naturals MultiForce Vegan 60Vcap,Vitamins & Health Supplem,Prairie Naturals,460,67953004608,1,$27.99,,
2463,Prairie Naturals Multi-Force for Active Men 60Vcap Iron-Free,Vitamins & Health Supplem,Prairie Naturals,462,67953004622,1,$27.99,,
4639,Prairie Naturals Morning Rise & Shine 126g,Vitamins & Health Supplem,Prairie Naturals,272,67953002727,1,$27.99,,
5081,Prairie Naturals Keto Strips 100 count,Vitamins & Health Supplem,Prairie Naturals,1301,67953013013,1,$16.99,,
5143,Prairie Naturals Fit Fuel Pre-Workout 213g Citrus Mango,Sports & Fitness,Prairie Naturals,628,67953006282,1,$49.99,,
2713,Prairie Naturals Chlorella 500mg 180Vcap Organic,Vitamins & Health Supplem,Prairie Naturals,617,67953006176,1,$24.99,,
